name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,17151,4554433829,,,,,secondary,1,103.494847,36.1661799,,,
,17155,4554434104,,,,,trunk,0,103.4248998,36.1529824,,,
,17157,4554434123,,,,,trunk,0,103.4236661,36.1544129,,,
,17159,4554434142,,,,,trunk,0,103.4231653,36.1510636,,,
,17167,4554434701,,,,,trunk,0,103.3967559,36.1327969,,,
,17168,4554434702,,,,,primary,0,103.3033919,36.081088,,,
,17180,4556163191,,,,,secondary,1,104.0934441,35.8632442,,,
,17181,4556766093,,,,,trunk,0,104.1494533,35.8853808,,,
,17182,4556766100,,,,,primary,0,104.1450107,35.8801458,,,
,17183,4556766101,,,,,primary,0,104.1051629,35.8599724,,,
,17184,4556766102,,,,,primary,0,104.144899,35.8802691,,,
,17192,4557762369,,,,,secondary,0,103.8388336,36.0435331,,,
,17215,4564937998,,,,,secondary,1,103.657524,36.4856891,,,
,17216,4564938013,,,,,secondary,0,103.691257,36.4865501,,,
,17220,4564938163,,,,,trunk,0,103.6851239,36.4858454,,,
,17224,4564938195,,,,,trunk,0,103.6684566,36.485668,,,
,17225,4564938196,,,,,trunk,0,103.6684513,36.4854186,,,
,17228,4564938313,,,,,secondary,0,103.6749903,36.4700121,,,
,17229,4564938321,,,,,secondary,0,103.6767183,36.4700672,,,
,17231,4564938383,,,,,secondary,0,103.682281,36.4802643,,,
,17235,4565080718,,,,,trunk,0,104.9875156,35.3137931,,,
,17236,4565081647,,,,,primary,0,105.0187184,35.3067219,,,
,17237,4565081648,,,,,primary,0,105.0186574,35.3066265,,,
,17238,4565081649,,,,,primary,0,105.0175878,35.307072,,,
,17239,4565081650,,,,,primary,0,105.0212645,35.3055421,,,
,17240,4565081651,,,,,primary,0,105.0225228,35.3051115,,,
,17241,4565081652,,,,,primary,0,105.0224753,35.3050403,,,
,17242,4565081656,,,,,secondary,0,105.0154856,35.3080051,,,
,17244,4569860137,,,,,secondary,0,105.3834118,35.0085636,,,
,17245,4571505906,,,,,trunk,0,104.992823,35.7394456,,,
,17246,4571505907,,,,,trunk,0,104.99274,35.7395453,,,
,17254,4572578155,,,,,secondary,0,105.6616648,34.870297,,,
,17255,4572583325,,,,,secondary,0,105.662642,34.8813115,,,
,17256,4572583377,,,,,secondary,0,105.658887,34.8448589,,,
,17257,4572652888,,,,,secondary,0,103.8442836,35.4951523,,,
,17261,4573230945,,,,,motorway,0,104.0510791,37.2293568,,,
,17262,4573230946,,,,,motorway,0,104.0510521,37.2294567,,,
,17263,4573231201,,,,,secondary,0,104.0479169,37.1677016,,,
,17265,4573231208,,,,,secondary,0,104.0464927,37.1662604,,,
,17266,4573231210,,,,,primary,0,104.0467831,37.1660405,,,
,17267,4574394400,,,,,secondary,0,105.6683631,34.8785007,,,
,17268,4574394403,,,,,secondary,1,105.6622193,34.8784472,,,
,17272,4575872885,,,,,secondary,0,106.3052331,34.7987458,,,
,17286,4575874801,,,,,secondary,0,106.1313927,34.7590623,,,
,17287,4575874804,,,,,secondary,0,106.1314831,34.7587172,,,
,17288,4575874806,,,,,secondary,0,106.1310518,34.7587261,,,
,17289,4575874820,,,,,secondary,0,106.1310506,34.7588682,,,
,17290,4575874822,,,,,secondary,0,106.1307753,34.7586014,,,
,17291,4575875037,,,,,primary,0,106.1263807,34.7605942,,,
,17292,4575875041,,,,,primary,0,106.1253471,34.7543854,,,
,17293,4575875042,,,,,primary,0,106.1255376,34.7543631,,,
,17298,4575875381,,,,,secondary,0,106.0546678,34.6576263,,,
,17300,4579025999,,,,,secondary,0,104.2038622,35.1306795,,,
,17301,4579026000,,,,,secondary,0,104.2037411,35.1306257,,,
,17302,4579026320,,,,,trunk,0,104.2056839,35.1287668,,,
,17303,4579026321,,,,,trunk,0,104.2057436,35.1286559,,,
,17304,4579123971,,,,,primary,0,103.7142593,35.3630764,,,
,17305,4579123980,,,,,primary,0,103.7164075,35.3464439,,,
,17306,4579176682,,,,,trunk,0,103.7228408,35.384858,,,
,17307,4580721353,,,,,secondary,0,103.7059234,35.3765727,,,
,17308,4580721357,,,,,trunk,0,103.7189631,35.3848092,,,
,17309,4580721358,,,,,secondary,0,103.7250263,35.3817672,,,
,17310,4580721359,,,,,primary,0,103.7239301,35.3833127,,,
,17311,4580721360,,,,,secondary,0,103.7118619,35.3771391,,,
,17317,4581103111,,,,,primary,0,104.3224507,34.8732956,,,
,17318,4581103114,,,,,primary,0,104.3482572,34.8806943,,,
,17319,4581572028,,,,,secondary,1,106.2819956,34.7506008,,,
,17321,4581572237,,,,,primary,0,106.2596957,34.7129338,,,
,17327,4581727015,,,,,primary,0,98.3023804,39.7807768,,,
,17328,4581727017,,,,,secondary,0,98.3051471,39.7763225,,,
,17331,4581727030,,,,,primary,0,98.3127123,39.7823511,,,
,17332,4581727043,,,,,secondary,0,98.3050186,39.7762793,,,
,17333,4581727047,,,,,trunk,0,98.3052051,39.7762335,,,
