name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,206,371540728,,yes,,,"POLYGON ((102.4768561 34.593554, 102.4769403 34.5935799, 102.4769885 34.5934735, 102.4769043 34.5934476, 102.4768561 34.593554))",POINT (102.4769223 34.5935137),103.5,1114.3
,207,925226499,,yes,,,"POLYGON ((104.4393879 35.6969559, 104.4394393 35.6970221, 104.4395734 35.6969535, 104.439522 35.6968873, 104.4393879 35.6969559))",POINT (104.4394807 35.6969547),124.4,1339.0
,208,557706207,,yes,,,"POLYGON ((104.3429384 34.8783531, 104.3437784 34.8784915, 104.3437967 34.8784169, 104.3429566 34.8782785, 104.3429384 34.8783531))",POINT (104.3433675 34.878385),662.8,7133.9
,209,913661401,,yes,,,"POLYGON ((104.4699436 36.7219048, 104.4708789 36.7206261, 104.4706196 36.7205042, 104.4696842 36.7217829, 104.4699436 36.7219048))",POINT (104.4702816 36.7212045),4416.8,47542.3
,210,727601923,,yes,,,"POLYGON ((104.678826 36.5657454, 104.6788666 36.565755, 104.6792428 36.5647331, 104.6794476 36.5647817, 104.6794576 36.5647545, 104.6792123 36.5646962, 104.678826 36.5657454))",POINT (104.6790754 36.5651699),523.4,5633.5
,211,734523501,,yes,,,"POLYGON ((107.6559895 35.7033499, 107.6563656 35.7033907, 107.6563838 35.7032802, 107.6560077 35.7032394, 107.6559895 35.7033499))",POINT (107.6561866 35.7033151),425.8,4582.8
,212,433242405,,yes,,,"POLYGON ((106.0558005 34.5314259, 106.0559002 34.5313985, 106.0558487 34.5312712, 106.055749 34.5312986, 106.0558005 34.5314259))",POINT (106.0558246 34.5313486),143.8,1548.0
,213,734523508,,yes,,,"POLYGON ((107.6543726 35.7018915, 107.6543749 35.7018777, 107.6541522 35.7018536, 107.6539806 35.7028969, 107.6542032 35.702921, 107.6542688 35.7025223, 107.6548164 35.7025817, 107.6548362 35.7024613, 107.6542886 35.7024019, 107.6543536 35.7020073, 107.6549271 35.7020695, 107.6549461 35.7019538, 107.6543726 35.7018915))",POINT (107.6543315 35.7023321),3733.2,40183.4
,214,433858694,,yes,,,"POLYGON ((103.8679258 36.0674242, 103.8685106 36.0672811, 103.8684799 36.0671992, 103.8678952 36.0673423, 103.8679258 36.0674242))",POINT (103.8682029 36.0673117),523.5,5634.5
,215,695988759,,yes,,,"POLYGON ((105.8053374 34.5762915, 105.8051346 34.576268, 105.8051602 34.5761178, 105.8054022 34.5761458, 105.8056119 34.576209, 105.8058073 34.5762902, 105.8058362 34.5763069, 105.8057282 34.5764333, 105.8057218 34.5764297, 105.8055264 34.5763484, 105.8053374 34.5762915))",POINT (105.8054757 34.57626),1064.6,11458.8
,216,588784113,,yes,,,"POLYGON ((105.2585587 35.2067609, 105.2581786 35.2068461, 105.2581993 35.2069077, 105.2585794 35.2068225, 105.2585587 35.2067609))",POINT (105.258379 35.2068343),252.8,2721.5
,217,762617588,,yes,,,"POLYGON ((94.6654183 40.1428863, 94.665252 40.1428986, 94.6652744 40.1430755, 94.6654407 40.1430631, 94.6654183 40.1428863))",POINT (94.6653463 40.1429809),286.5,3084.4
,218,741308565,,yes,,,"POLYGON ((103.7600219 36.5355709, 103.760308 36.5354222, 103.7599889 36.5350257, 103.7597027 36.5351744, 103.7600219 36.5355709))",POINT (103.7600054 36.5352983),1600.3,17225.0
,219,778062341,,yes,,,"POLYGON ((105.7350625 34.5840647, 105.7355082 34.5840588, 105.7355064 34.5839697, 105.7350608 34.5839756, 105.7350625 34.5840647))",POINT (105.7352845 34.5840172),404.9,4358.4
